Organism Name	Literature Reference	TaxID	Domain	Phylum	Class	Order	Family	Genus	Species
Thermomicrobium	https://doi.org/10.1128/mra.01221-22	499	Bacteria	Thermomicrobiota	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	NULL
Paenibacillus	https://doi.org/10.1007/s13205-017-0762-1	44249	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	NULL
Cellulosimicrobium	https://doi.org/10.1139/cjm-2015-0178	157920	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	NULL
Thermonema	https://doi.org/10.1007/s13205-017-0762-1	28194	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Thermonemataceae	Thermonema	NULL
Thermopolyspora	https://doi.org/10.1007/s00253-016-7922-9	359169	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Thermopolyspora	NULL
Thermorudis	https://doi.org/10.1099/ijsem.0.000598	1649508	Bacteria	Thermomicrobiota	Thermomicrobia	NULL	NULL	Thermorudis	NULL
Thermomicrobium	https://doi.org/10.1099/ijsem.0.000598	499	Bacteria	Thermomicrobiota	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	NULL
Sphaerobacter	https://doi.org/10.1099/ijsem.0.000598	2056	Bacteria	Thermomicrobiota	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	NULL
Thermalbibacter	https://doi.org/10.1099/ijsem.0.005891	3050075	Bacteria	Thermomicrobiota	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermalbibacter	NULL
Thermostichus	https://doi.org/10.3390/biology12020271	2881385	Bacteria	Cyanobacteriota	Cyanophyceae	Thermostichales	Thermostichaceae	Thermostichus	NULL
Thermostilla	https://doi.org/10.1099/ijsem.0.000767	1755820	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Thermoguttaceae	Thermostilla	NULL
Kolteria	https://doi.org/10.1128/jb.00337-24	3405236	Bacteria	Planctomycetota	Planctomycetia	Kolteriales	Kolteriaceae	Kolteria	NULL
Thermosynechococcus	https://doi.org/10.1016/j.biortech.2019.01.089	146785	Bacteria	Cyanobacteriota	Cyanophyceae	Acaryochloridales	Thermosynechococcaceae	Thermosynechococcus	NULL
Thermosynergistaceae	https://doi.org/10.1099/ijsem.0.005031	2880999	Bacteria	Synergistota	NULL	NULL	Thermosynergistaceae	NULL	NULL
Thermotoga	https://doi.org/10.1038/s41598-025-05366-6	2335	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	NULL
Thermotogota	https://doi.org/10.1093/gbe/evad156	200918	Bacteria	Thermotogota	NULL	NULL	NULL	NULL	NULL
Thermovirga	https://doi.org/10.1016/j.scitotenv.2021.149187	336260	Bacteria	Synergistota	Synergistia	Synergistales	Thermovirgaceae	Thermovirga	NULL
Thermus	https://doi.org/10.3389/fgene.2019.00204	270	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus	NULL
Nitrospira	https://doi.org/10.1038/s41396-023-01409-w	1234	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NULL
